frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1969-04-03,1969-04-11,0.18937269714254334,0.2682317845539583,116
weekly,1969-04-11,1969-04-18,-0.0347968305683211,0.006474407153818236,115
weekly,1969-04-18,1969-04-25,0.027403599087218136,0.08430800812687725,116
weekly,1969-04-25,1969-05-02,-0.058523189520163096,-0.05758048750006508,120
weekly,1969-05-02,1969-05-09,-0.054882611261281085,-0.010675136510372479,119
weekly,1969-05-09,1969-05-16,-0.034946820959538355,0.03884425089781633,119
weekly,1969-05-16,1969-05-23,-0.11250373054200019,-0.08246781883450939,120
weekly,1969-05-23,1969-05-29,-0.10257497062470203,-0.031343311541127336,117
weekly,1969-05-29,1969-06-06,-0.009282552039658989,0.12219570890768928,121
weekly,1969-06-06,1969-06-13,0.03419680844621905,0.028995119444309703,120
weekly,1969-06-13,1969-06-20,0.3473531286022689,0.32760860250792556,121
weekly,1969-06-20,1969-06-27,0.07086081852260745,0.03273212123561482,123
weekly,1969-06-27,1969-07-03,-0.2260693561633915,-0.144293023122113,121
weekly,1969-10-03,1969-10-10,-0.10728608395355185,0.005671629799246948,118
weekly,1969-10-10,1969-10-17,-0.12682359604307894,-0.06107392109386128,119
weekly,1969-10-17,1969-10-24,-0.21585061276722728,-0.1311798468432016,117
weekly,1969-10-24,1969-10-31,0.05372641312434161,0.11280444381142289,119
weekly,1969-10-31,1969-11-07,0.04713548468427083,0.08457125733122137,141
weekly,1969-11-07,1969-11-14,-0.009855800336776084,0.007464952887488098,143
weekly,1969-11-14,1969-11-21,0.25199093551845864,0.27057299907165056,142
weekly,1969-11-21,1969-11-28,0.03414065338389916,0.022852484644513414,142
weekly,1969-11-28,1969-12-05,0.26538899306576585,0.31043125289454326,142
weekly,1969-12-05,1969-12-12,0.2233581915452495,0.2672811515169477,162
weekly,1969-12-12,1969-12-19,0.09750751831126986,0.1342959748615891,163
weekly,1969-12-19,1969-12-26,0.0853325905853666,0.17212551471117984,163
weekly,1969-12-26,1970-01-02,-0.1635699752473116,-0.09371287226614376,158
weekly,1970-01-02,1970-01-09,-0.1715349146698048,-0.1715913656452025,132
weekly,1970-01-09,1970-01-16,0.10700342279917875,0.11937074109983749,130
weekly,1970-01-16,1970-01-23,-0.025960949733353406,-0.025836758661186142,131
weekly,1970-01-23,1970-01-30,0.029273585164249823,0.03184220359792879,131
weekly,1970-01-30,1970-02-06,0.15119919778213112,0.14176915038984006,144
weekly,1970-02-06,1970-02-13,0.21399938790946638,0.28441190363722246,145
weekly,1970-02-13,1970-02-20,0.07704446181474496,0.08927334278066446,145
weekly,1970-02-20,1970-02-27,-0.00843960340485763,0.05262554117355764,146
weekly,1970-02-27,1970-03-06,-0.05575592412199483,-0.0423520141830001,143
weekly,1970-03-06,1970-03-13,0.10994321974711435,0.14441686891679925,138
weekly,1970-03-13,1970-03-20,0.16057644667448498,0.1911212382046124,138
weekly,1970-03-20,1970-03-26,-0.1571647308319767,-0.09457564047516817,136
weekly,1970-03-26,1970-04-03,0.14800913915894462,0.15475046176958782,138
weekly,1970-04-03,1970-04-10,0.12619691495046198,0.14362882540728317,824
weekly,1970-04-10,1970-04-17,0.2611637992324962,0.270145917548426,804
weekly,1970-04-17,1970-04-24,0.22178201532947533,0.21856229917542733,803
weekly,1970-04-24,1970-05-01,0.09625196506786292,0.10580702165922905,808
weekly,1970-05-01,1970-05-08,-0.014707685213173161,-0.0011816887873218821,829
weekly,1970-05-08,1970-05-15,0.18084480847221318,0.17985341744314873,818
weekly,1970-05-15,1970-05-22,0.20573773896956896,0.20050166323632432,828
weekly,1970-05-22,1970-05-29,-0.13425932334533167,-0.10282098465929021,814
weekly,1970-05-29,1970-06-05,-0.04979058323821718,-0.031373784804802525,848
weekly,1970-06-05,1970-06-12,0.1017681295023518,0.1178568481434282,842
weekly,1970-06-12,1970-06-19,0.16147387010226905,0.186054343636713,798
weekly,1970-06-19,1970-06-26,0.21098839505723668,0.2353134138275667,826
weekly,1970-06-26,1970-07-02,0.09789696380177122,0.10646790336638787,802
weekly,1970-07-02,1970-07-10,0.04366401967653343,0.0874434362525918,151
weekly,1970-07-10,1970-07-17,0.2296032291166708,0.25761523411293713,150
weekly,1970-07-17,1970-07-24,0.024220772270593775,0.06033258549146475,156
weekly,1970-07-24,1970-07-31,0.017143620875864015,0.07708180376258349,141
weekly,1970-07-31,1970-08-07,-0.04786751876162057,-0.022935947024159093,114
weekly,1970-08-07,1970-08-14,0.112235616826998,0.12908161303963403,116
weekly,1970-08-14,1970-08-21,0.1563432812597027,0.1923394173394173,111
weekly,1970-08-21,1970-08-28,-0.19165243675920812,-0.21962095875139356,116
weekly,1970-08-28,1970-09-04,-0.14145427068820732,-0.11946080414812148,117
weekly,1970-09-04,1970-09-11,0.016259080336750494,0.06113680588141451,121
weekly,1970-09-11,1970-09-18,-0.0330523289097088,0.016946236559139783,125
weekly,1970-09-18,1970-09-25,-0.21250611802993638,-0.19312514904431025,126
weekly,1970-09-25,1970-10-02,-0.03155204190717111,0.02586967070695475,132
weekly,1970-10-02,1970-10-09,0.03680231492157307,0.05883276392030981,195
weekly,1970-10-09,1970-10-16,0.19185703215149563,0.2583499092192782,197
weekly,1970-10-16,1970-10-23,0.1813924414232991,0.2451642982384633,186
weekly,1970-10-23,1970-10-30,0.19588363359374633,0.30675244134305124,182
weekly,1970-10-30,1970-11-06,0.05389186414648112,0.07963547321902507,183
weekly,1970-11-06,1970-11-13,0.18551017476618692,0.20443882168656435,185
weekly,1970-11-13,1970-11-20,0.24731986238537168,0.2972818992237002,186
weekly,1970-11-20,1970-11-27,0.045571186226796574,0.15682086101460002,181
weekly,1970-11-27,1970-12-04,-0.004935920093290805,0.02866721139196493,178
weekly,1970-12-04,1970-12-11,0.14183900578543063,0.18567936507839097,188
weekly,1970-12-11,1970-12-18,0.00997814402805712,0.1127323290546223,193
weekly,1970-12-18,1970-12-24,-0.20212671031694976,-0.2109889387457615,194
weekly,1970-12-24,1970-12-31,-0.23276523114806374,-0.1781713140143663,193
weekly,1970-12-31,1971-01-08,-0.3057740807961701,-0.2789263660348924,164
weekly,1971-01-08,1971-01-15,-0.08497123978181474,-0.020240175941136637,165
weekly,1971-01-15,1971-01-22,-0.15162459990899238,-0.14653230034700754,162
weekly,1971-01-22,1971-01-29,-0.005704296871719481,0.02575702237330245,167
weekly,1971-01-29,1971-02-05,-0.24924558108844416,-0.2018220989524619,186
weekly,1971-02-05,1971-02-12,-0.1916266621316839,-0.14018585083265359,182
